"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Kim J.; Park S.; Park H.","Kim, Jeena (57767228500); Park, Seunghyun (57191670558); Park, Hyunhee (55558118300)","57767228500; 57191670558; 55558118300","Energy optimization and age of information enhancement in multi-UAV networks using deep reinforcement learning","2024","Electronics Letters","60","20","e70063","","","","0","10.1049/ell2.70063","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206674398&doi=10.1049%2fell2.70063&partnerID=40&md5=7f867c622c9f798e45eb021524c513b2","Department of Information and Communication Engineering, Myongji University - Natural Science Campus, Yongin, South Korea; Division of Computer Engineering, Hansung University, Seoul, South Korea","Kim J., Department of Information and Communication Engineering, Myongji University - Natural Science Campus, Yongin, South Korea; Park S., Division of Computer Engineering, Hansung University, Seoul, South Korea; Park H., Department of Information and Communication Engineering, Myongji University - Natural Science Campus, Yongin, South Korea","This letter introduces an innovative approach for minimizing energy consumption in multi-unmanned aerial vehicles (multi-UAV) networks using deep reinforcement learning, with a focus on optimizing the age of information (AoI) in disaster environments. A hierarchical UAV deployment strategy that facilitates cooperative trajectory planning, ensuring timely data collection and transmission while minimizing energy consumption is proposed. By formulating the inter-UAV network path planning problem as a Markov decision process, a deep Q-network (DQN) strategy is applied to enable real-time decision making that accounts for dynamic environmental changes, obstacles, and UAV battery constraints. The extensive simulation results, conducted in both rural and urban scenarios, demonstrate the effectiveness of employing a memory access approach within the DQN framework, significantly reducing energy consumption up to 33.25% in rural settings and 74.20% in urban environments compared to non-memory approaches. By integrating AoI considerations with energy-efficient UAV control, this work offers a robust solution for maintaining fresh data in critical applications, such as disaster response, where ground-based communication infrastructures are compromised. The use of replay memory approach, particularly the online history approach, proves crucial in adapting to changing conditions and optimizing UAV operations for both data freshness and energy consumption. © 2024 The Author(s). Electronics Letters published by John Wiley & Sons Ltd on behalf of The Institution of Engineering and Technology.","autonomous aerial vehicles; data communication; energy consumption; learning (artificial intelligence); trajectory control","Aircraft accidents; Aircraft communication; Antenna grounds; Data communication systems; Deep reinforcement learning; Motion planning; Network security; Reinforcement learning; Unmanned aerial vehicles (UAV); Aerial vehicle; Data-communication; Energy optimization; Energy-consumption; Innovative approaches; Learning (artificial intelligence); Minimizing energy; Reinforcement learnings; Trajectory control; Vehicle network; Markov processes","H. Park; Department of Information and Communication Engineering, Myongji University - Natural Science Campus, Yongin, South Korea; email: hhpark@mju.ac.kr","","John Wiley and Sons Inc","00135194","","ELLEA","","English","Electron. Lett.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85206674398"
"Han Z.; Chen M.; Zhu H.; Wu Q.","Han, Zengliang (57195195682); Chen, Mou (55595837400); Zhu, Haojie (58165486900); Wu, Qingxian (55579723400)","57195195682; 55595837400; 58165486900; 55579723400","Ground threat prediction-based path planning of unmanned autonomous helicopter using hybrid enhanced artificial bee colony algorithm","2024","Defence Technology","32","","","1","22","21","4","10.1016/j.dt.2023.04.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159279876&doi=10.1016%2fj.dt.2023.04.010&partnerID=40&md5=cd85016da77f591aa2770c5f0eed270f","School of Automation Engineering, Nanjing University of Aeronautics and Astronautics, Nanjing, 211106, China","Han Z., School of Automation Engineering, Nanjing University of Aeronautics and Astronautics, Nanjing, 211106, China; Chen M., School of Automation Engineering, Nanjing University of Aeronautics and Astronautics, Nanjing, 211106, China; Zhu H., School of Automation Engineering, Nanjing University of Aeronautics and Astronautics, Nanjing, 211106, China; Wu Q., School of Automation Engineering, Nanjing University of Aeronautics and Astronautics, Nanjing, 211106, China","Unmanned autonomous helicopter (UAH) path planning problem is an important component of the UAH mission planning system. Aiming to reduce the influence of non-complete ground threat information on UAH path planning, a ground threat prediction-based path planning method is proposed based on artificial bee colony (ABC) algorithm by collaborative thinking strategy. Firstly, a dynamic threat distribution probability model is developed based on the characteristics of typical ground threats. The dynamic no-fly zone of the UAH is simulated and established by calculating the distribution probability of ground threats in real time. Then, a dynamic path planning method for UAH is designed in complex environment based on the real-time prediction of ground threats. By adding the collision warning mechanism to the path planning model, the flight path could be dynamically adjusted according to changing no-fly zones. Furthermore, a hybrid enhanced ABC algorithm is proposed based on collaborative thinking strategy. The proposed algorithm applies the leader-member thinking mechanism to guide the direction of population evolution, and reduces the negative impact of local optimal solutions caused by collaborative learning update strategy, which makes the optimization performance of ABC algorithm more controllable and efficient. Finally, simulation results verify the feasibility and effectiveness of the proposed ground threat prediction path planning method. © 2023 China Ordnance Society","Collaborative thinking; Ground threat prediction; Hybrid enhanced; Path planning; UAH","Dynamics; Evolutionary algorithms; Forecasting; Optimization; Probability distributions; Unmanned aerial vehicles (UAV); Artificial bees; Bee colony algorithms; Collaborative thinking; Distribution probability; Ground threat prediction; Hybrid enhanced; Path planning method; Prediction-based; Threat prediction; Unmanned autonomous helicopters; Motion planning","M. Chen; School of Automation Engineering, Nanjing University of Aeronautics and Astronautics, Nanjing, 211106, China; email: chenmou@nuaa.edu.cn","","KeAi Communications Co.","20963459","","","","English","Def. Technol.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85159279876"
"Zhang G.; Zhang Y.; Gao A.; Xu A.","Zhang, Guohui (55738936400); Zhang, Ya'nan (58873026800); Gao, Ang (57221835270); Xu, Aoyu (58898417400)","55738936400; 58873026800; 57221835270; 58898417400","Reconnaissance Mission Planning Method for Air-ground Heterogeneous Unmanned Systems; [空地异构无人系统侦察任务规划方法]","2024","Xitong Fangzhen Xuebao / Journal of System Simulation","36","2","","497","510","13","1","10.16182/j.issn1004731x.joss.23-0103","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185587117&doi=10.16182%2fj.issn1004731x.joss.23-0103&partnerID=40&md5=716828bd7e6342f0c1cfaebfbed44018","Department of Information and Communication, Academy of Army Armored Force, Beijing, 100072, China; Joint Operations College, National Defense University, Beijing, 100091, China; PLA 93176 Troops, Dalian, 116000, China","Zhang G., Department of Information and Communication, Academy of Army Armored Force, Beijing, 100072, China; Zhang Y., Department of Information and Communication, Academy of Army Armored Force, Beijing, 100072, China; Gao A., Joint Operations College, National Defense University, Beijing, 100091, China; Xu A., PLA 93176 Troops, Dalian, 116000, China","Compared with the air-based homogeneous unmanned system, the motion capabilities, resource payloads, and combat scenes in the air-ground heterogeneous unmanned system increase the number of constraint conditions and significantly increase the computational complexity of the solution model. The modeling of collaborative combat missions and the efficient solution of large-scale problems are the key issues. With the time, path cost, and reconnaissance benefit as the objective functions, considering the constraints such as the endurance of unmanned platforms, a multi-objective programming model for the reconnaissance missions of an air-ground heterogeneous unmanned system is constructed. Aiming at the urban combat environments with multiple threat zones, considering the path safety and timeliness of unmanned platform missions, the improved A* algorithm path planning strategies for unmanned aerial vehicles and unmanned ground vehicles are proposed. Aiming at the problem that the optimization effect of snake optimizer (SO) is unstable and easy to fall into local optimal solutions, an improved snake optimizer (IMSO) is proposed by combining the particle swarm algorithm and the genetic algorithm. Simulation verification and comparative analysis with existing algorithms are carried out by using Python language to verify the feasibility of the model and the superiority of the algorithm. Solving 10 tasks independently under three different task loads from small to large, the average objective function values of IMSO are 100.11%, 108.99%, and 110.01% of SO, respectively. It can be seen that IMSO can jump out of local optima multiple times, and the stability and final fitness values of the algorithm are better than SO, and is more superior in solving the larger-scale problems. © 2024 Acta Simulata Systematica Sinica. All rights reserved.","A* algorithm; air-ground heterogeneity; mission planning; snake optimization; unmanned combat","","Y. Zhang; Department of Information and Communication, Academy of Army Armored Force, Beijing, 100072, China; email: 546018140@qq.com","","Acta Simulata Systematica Sinica","1004731X","","XFXUF","","Chinese","Xitong Fangzhen Xuebao","Article","Final","","Scopus","2-s2.0-85185587117"
"Guo D.; Tang L.; Zhang X.; Liang Y.-C.","Guo, Delin (57215897646); Tang, Lan (35504073000); Zhang, Xinggan (7410277485); Liang, Ying-Chang (36071330300)","57215897646; 35504073000; 7410277485; 36071330300","Joint Optimization of Trajectory and Jamming Power for Multiple UAV-Aided Proactive Eavesdropping","2024","IEEE Transactions on Mobile Computing","23","5","10238835","5770","5785","15","3","10.1109/TMC.2023.3311484","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171565918&doi=10.1109%2fTMC.2023.3311484&partnerID=40&md5=9dc452d4a3e8dc2ea012068292ac3409","Nanjing University, School of Electronic Science and Engineering, Nanjing, 210093, China; University of Electronic Science and Technology of China (UESTC), Center for Intelligent Networking and Communications (CINC), Chengdu, 611731, China; University of Electronic Science and Technology of China, Yangtze Delta Region Institute (Huzhou), Huzhou, 313001, China","Guo D., Nanjing University, School of Electronic Science and Engineering, Nanjing, 210093, China; Tang L., Nanjing University, School of Electronic Science and Engineering, Nanjing, 210093, China; Zhang X., Nanjing University, School of Electronic Science and Engineering, Nanjing, 210093, China; Liang Y.-C., University of Electronic Science and Technology of China (UESTC), Center for Intelligent Networking and Communications (CINC), Chengdu, 611731, China, University of Electronic Science and Technology of China, Yangtze Delta Region Institute (Huzhou), Huzhou, 313001, China","This paper studies a novel wireless information surveillance scenario, where the legitimate party aims to eavesdrop on multiple suspicious communication links with the help of multiple unmanned aerial vehicles (UAVs). Each suspicious link is comprised of a UAV (transmitter) and its fixed destination. To improve the eavesdropping ability, cooperative legitimate UAVs emit jamming signals to reduce the capacities of suspicious channels and plan the flight trajectory to enhance the capacity of the eavesdropping channels. Considering the system dynamics, it is natural to model this sequential decision-making problem as a Markov Decision Process (MDP), which might be solved by reinforcement learning (RL). However, it is difficult to design a policy in RL that determines jamming powers satisfying the considered eavesdropping constraints. Therefore, we decompose the optimization process into two phases, 1) obtaining the non-learning-based optimal solver for jamming power allocation under each state, and 2) optimizing the policy of moving action by RL. We will show this decoupled optimization process also holds the optimality. Considering the flying safety, we will determine the individual moving policy for each legitimate UAV rather than a centralized policy that controls all UAVs. Finally, extensive simulations are conducted to demonstrate the effectiveness of the proposed solution. © 2023 IEEE.","power allocation; Proactive eavesdropping; reinforcement learning (RL); trajectory planning; unmanned aerial vehicles (UAVs)","Antennas; Behavioral research; Decision making; Drones; Jamming; Markov processes; Security systems; Trajectories; Aerial vehicle; Eavesdropping; Jamming; Optimisations; Power allocations; Proactive eavesdropping; Reinforcement learning; Reinforcement learnings; Surveillance; Trajectory Planning; Unmanned aerial vehicle; Wireless communications; Reinforcement learning","L. Tang; Nanjing University, School of Electronic Science and Engineering, Nanjing, 210093, China; email: tanglan@nju.edu.cn","","Institute of Electrical and Electronics Engineers Inc.","15361233","","","","English","IEEE Trans. Mob. Comput.","Article","Final","","Scopus","2-s2.0-85171565918"
"He Y.; Xie J.; Hu G.; Liu Y.; Luo X.","He, Yuan (59126527100); Xie, Jun (59081840600); Hu, Guyu (8426014700); Liu, Yaqun (57237712000); Luo, Xijian (57859588300)","59126527100; 59081840600; 8426014700; 57237712000; 57859588300","Joint optimization of communication and mission performance for multi-UAV collaboration network: A multi-agent reinforcement learning method","2024","Ad Hoc Networks","164","","103602","","","","0","10.1016/j.adhoc.2024.103602","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200407950&doi=10.1016%2fj.adhoc.2024.103602&partnerID=40&md5=09d1de330645c6046d329cf94a3416ee","College of Command and Control Engineering, Army Engineering University of PLA, Jiangsu, Nanjing, 210007, China","He Y., College of Command and Control Engineering, Army Engineering University of PLA, Jiangsu, Nanjing, 210007, China; Xie J., College of Command and Control Engineering, Army Engineering University of PLA, Jiangsu, Nanjing, 210007, China; Hu G., College of Command and Control Engineering, Army Engineering University of PLA, Jiangsu, Nanjing, 210007, China; Liu Y., College of Command and Control Engineering, Army Engineering University of PLA, Jiangsu, Nanjing, 210007, China; Luo X., College of Command and Control Engineering, Army Engineering University of PLA, Jiangsu, Nanjing, 210007, China","In emergency rescue, target search and other mission scenarios with Unmanned Aerial Vehicles (UAVs), the Relay UAVs (RUs) and Mission UAVs (MUs) can collaborate to accomplish tasks in unknown environments. In this paper, we investigate the problem of trajectory planning and power control for the MU and RU collaboration. Firstly, considering the characteristics of multi-hop data transmission between the MU and Ground Control Station, a multi-UAV collaborative coverage model is designed. Meanwhile, a UAV control algorithm named MUTTO is proposed based on multi-agent reinforcement learning. In order to solve the problem of the unknown information about the number and locations of targets, the geographic coverage rate is used to replace the target coverage rate for decision making. Then, the reward functions of two types of UAVs are designed separately for the purpose of better cooperation. By simultaneously planning the trajectory and transmission power of the RU and MU, the mission target coverage rate and network transmission rate are maximized while the energy consumption of the UAV is minimized. Finally, numerical simulations results show that MUTTO can solve the UAV network control problem in an efficient way and has better performance than the benchmark method. © 2024 Elsevier B.V.","Mission UAV; Multi-agent reinforcement learning; Multi-UAV collaboration; Relay UAV; Trajectory Planning and power control; UAV network","Aircraft control; Antennas; Benchmarking; Decision making; Energy utilization; Learning systems; Multi agent systems; Numerical methods; Reinforcement learning; Rock mechanics; Trajectories; Aerial vehicle; Mission unmanned aerial vehicle; Multi-agent reinforcement learning; Multi-unmanned aerial vehicle collaboration; Planning controls; Power-control; Relay unmanned aerial vehicle; Trajectory Planning; Trajectory planning and power control; Unmanned aerial vehicle network; Vehicle network; Unmanned aerial vehicles (UAV)","J. Xie; College of Command and Control Engineering, Army Engineering University of PLA, Nanjing, Jiangsu, 210007, China; email: xiejun@aeu.edu.cn","","Elsevier B.V.","15708705","","","","English","Ad Hoc Netw.","Article","Final","","Scopus","2-s2.0-85200407950"
"Wang J.; Jia G.; Guo Z.; Hou Z.","Wang, Jianfeng (57211246066); Jia, Gaowei (55460469100); Guo, Zheng (55726210000); Hou, Zhongxi (7201896713)","57211246066; 55460469100; 55726210000; 7201896713","Review of research on multi-UAV collaborative mission planning method; [多无人机协同任务规划方法研究综述]","2024","Xi Tong Gong Cheng Yu Dian Zi Ji Shu/Systems Engineering and Electronics","46","10","","3437","3450","13","0","10.12305/j.issn.1001-506X.2024.10.21","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207806453&doi=10.12305%2fj.issn.1001-506X.2024.10.21&partnerID=40&md5=e208bb58f0962f542728fd792e8cc5ef","College of Aerospace Science and Engineering, National University of Defense Technology, Changsha, 410073, China","Wang J., College of Aerospace Science and Engineering, National University of Defense Technology, Changsha, 410073, China; Jia G., College of Aerospace Science and Engineering, National University of Defense Technology, Changsha, 410073, China; Guo Z., College of Aerospace Science and Engineering, National University of Defense Technology, Changsha, 410073, China; Hou Z., College of Aerospace Science and Engineering, National University of Defense Technology, Changsha, 410073, China","With the development of communication technology, the future development of multi-unmanned aerial vehicle (UAV) system is trending towards clusterization, autonomy, and intelligence. Through information fusion and capability complementation among units. multi-UAV system can break through their inherent technology limitations and form diversified mission capabilities. Mission planning serves as the top-level design for collaborative applications of multi-UAV system. It is a combinatorial optimization problem with constraints, seeking to obtain optimal mission execution plans that satisfy requirements, with the consideration of mission demands, unit capabilities, and environmental situations. This paper summarizes existing research result from two perspectives; problem representation modeling and plan solution evaluation. Specifically, it reviews the research result of problem representation modeling in terms of scenario analysis, task allocation, and trajectory planning, and examines solution evaluation in terms of solving algorithms and performance assessment. Finally, several directions worthy of attention in future research on UAV mission planning are analyzed. © 2024 Chinese Institute of Electronics. All rights reserved.","mission planning; multi-unmanned aerial vehicle (UAV) system; plan solving and evaluation; problem representation and modeling","Aircraft communication; Antennas; Information fusion; Unmanned aerial vehicles (UAV); Aerial vehicle; Mission planning; Multi-unmanned aerial vehicle  system; Plan solving and evaluation; Planning method; Problem models; Problem representation; Representation model; Research results; Unmanned aerial vehicle systems; Combinatorial optimization","","","Chinese Institute of Electronics","1001506X","","XGYDE","","Chinese","Xi Tong Cheng Yu Dian Zi Ji Shu/Syst Eng Electron","Article","Final","","Scopus","2-s2.0-85207806453"
"Shi H.; Zhao Z.; Chen J.; Zhou M.; Liu Y.","Shi, Haotian (57221637062); Zhao, Zilin (59387491000); Chen, Jiale (59263218400); Zhou, Mengjie (57219591298); Liu, Yang (57203674978)","57221637062; 59387491000; 59263218400; 57219591298; 57203674978","Enhancing Unmanned Aerial Vehicle Path Planning in Multi-Agent Reinforcement Learning through Adaptive Dimensionality Reduction","2024","Drones","8","10","521","","","","0","10.3390/drones8100521","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207649969&doi=10.3390%2fdrones8100521&partnerID=40&md5=a0dcb6428404a2e2e736c992b86b5ace","College of Instrumentation and Electrical Engineering, Jilin University, Jilin, 130061, China; School of Software, Jilin University, Jilin, 130015, China; School of Communication Engineering, Jilin University, Jilin, 130012, China; Department of Computer Science, University of Bristol, Bristol, BS8 1QU, United Kingdom","Shi H., College of Instrumentation and Electrical Engineering, Jilin University, Jilin, 130061, China; Zhao Z., School of Software, Jilin University, Jilin, 130015, China; Chen J., School of Communication Engineering, Jilin University, Jilin, 130012, China; Zhou M., Department of Computer Science, University of Bristol, Bristol, BS8 1QU, United Kingdom; Liu Y., College of Instrumentation and Electrical Engineering, Jilin University, Jilin, 130061, China","Unmanned Aerial Vehicles (UAVs) have become increasingly important in various applications, including environmental monitoring, disaster response, and surveillance, due to their flexibility, efficiency, and ability to access hard-to-reach areas. Effective path planning for multiple UAVs exploring a target area is crucial for maximizing coverage and operational efficiency. This study presents a novel approach to optimizing collaborative navigation for UAVs using multi-agent reinforcement learning (MARL). To enhance the efficiency of this process, we introduce the Adaptive Dimensionality Reduction (ADR) framework, which includes Autoencoders (AEs) and Principal Component Analysis (PCA) for dimensionality reduction and feature extraction. The ADR framework significantly reduces computational complexity by simplifying high-dimensional state spaces while preserving crucial information. Additionally, we incorporate communication modules to facilitate inter-UAV coordination, further improving path planning efficiency. Our experimental results demonstrate that the proposed approach significantly enhances exploration performance and reduces computational complexity, showcasing the potential of combining MARL with ADR techniques for advanced UAV navigation in complex environments. © 2024 by the authors.","dimensionality reduction; multi-agent reinforcement learning (MARL); unmanned aerial vehicles (UAVs)","Adversarial machine learning; Direct air capture; Fertilizers; Motion planning; Reinforcement learning; Unmanned aerial vehicles (UAV); Aerial vehicle; Coverage efficiencies; Dimensionality reduction; Disaster-response; Environmental Monitoring; Multi-agent reinforcement learning; Reach areas; Unmanned aerial vehicle; Vehicle path planning; Dimensionality reduction","Y. Liu; College of Instrumentation and Electrical Engineering, Jilin University, Jilin, 130061, China; email: liu_yang@jlu.edu.cn","","Multidisciplinary Digital Publishing Institute (MDPI)","2504446X","","","","English","Drones","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85207649969"
"Nguyen L.V.; Kwok N.M.; Ha Q.P.","Nguyen, Lanh Van (57225963009); Kwok, Ngai Ming (6603586810); Ha, Quang Phuc (7006590610)","57225963009; 6603586810; 7006590610","Fermat-Weber location particle swarm optimization for cooperative path planning of unmanned aerial vehicles","2024","Applied Soft Computing","167","","112269","","","","0","10.1016/j.asoc.2024.112269","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205012050&doi=10.1016%2fj.asoc.2024.112269&partnerID=40&md5=b1a6c28cc2f0b8f503c6c5ab25333c34","School of Electrical and Data Engineering, University of Technology Sydney, Ultimo, 2007, NSW, Australia; School of Engineering, Design and Built Environment, Western Sydney University, Penrith, 2751, NSW, Australia","Nguyen L.V., School of Electrical and Data Engineering, University of Technology Sydney, Ultimo, 2007, NSW, Australia; Kwok N.M., School of Engineering, Design and Built Environment, Western Sydney University, Penrith, 2751, NSW, Australia; Ha Q.P., School of Electrical and Data Engineering, University of Technology Sydney, Ultimo, 2007, NSW, Australia","This paper presents an effective algorithm, called the Fermat-Weber location particle swarm optimization (FWL-PSO), developed for cooperative path planning of Unmanned Aerial Vehicles (UAVs). Initially, FWL-PSO is constructed by harnessing the Fermat-Weber optimality to identify potential solutions. Within the framework of FWL-PSO, a collection of high-performing particles is established, determined by their respective fitness scores. Following this, the Fermat-Weber location of these elite particles is calculated to supersede the traditional global best, thereby augmenting the learning strategy of the standard PSO. As a result, this method enables the evolution of information while encouraging search diversity. Subsequently, FWL-PSO is employed for handling the interactions of multiple UAVs. In this context, the path planning for a group of UAVs is formulated as a Nash game that incorporates all cooperative interdependencies and safety conditions. The algorithm is then integrated to solve the optimization problem for achieving the Nash equilibrium. To assess its efficacy, extensive simulations and experiments are conducted across a variety of path-planning scenarios. Comparative analyses between FWL-PSO and existing PSO variants underscore the enhanced efficiency and reliability of our proposed approach. © 2024 The Authors","Fermat Weber location; Game theory; Path planning; PSO; UAV","Swarm intelligence; Unmanned aerial vehicles (UAV); Aerial vehicle; Cooperative path planning; Effective algorithms; Fermat weber location; Learning strategy; Optimality; Particle swarm; PSO; Swarm optimization; Unmanned aerial vehicle; Particle swarm optimization (PSO)","L.V. Nguyen; School of Electrical and Data Engineering, University of Technology Sydney, Ultimo, 2007, Australia; email: vanlanh.nguyen@uts.edu.au","","Elsevier Ltd","15684946","","","","English","Appl. Soft Comput.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85205012050"
"Wang L.; Huang W.; Li H.; Li W.; Chen J.; Wu W.","Wang, Li (59197150200); Huang, Weicheng (58706765500); Li, Haoxin (58220169500); Li, Weijie (58706792500); Chen, Junjie (59197150300); Wu, Weibin (15763969900)","59197150200; 58706765500; 58220169500; 58706792500; 59197150300; 15763969900","A Review of Collaborative Trajectory Planning for Multiple Unmanned Aerial Vehicles","2024","Processes","12","6","1272","","","","0","10.3390/pr12061272","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197272789&doi=10.3390%2fpr12061272&partnerID=40&md5=538d718269557de6f4431f3c98656210","College of Intelligent Manufacturing and Electrical Engineering, Guangzhou Institute of Science and Technology, Guangzhou, 510540, China; College of Engineering, South China Agricultural University, Guangzhou, 510642, China; Guangdong Industrial Robot Integration and Application Engineering Technology Research Center, Guangzhou Institute of Science and Technology, Guangzhou, 510540, China","Wang L., College of Intelligent Manufacturing and Electrical Engineering, Guangzhou Institute of Science and Technology, Guangzhou, 510540, China; Huang W., College of Intelligent Manufacturing and Electrical Engineering, Guangzhou Institute of Science and Technology, Guangzhou, 510540, China; Li H., College of Engineering, South China Agricultural University, Guangzhou, 510642, China; Li W., College of Intelligent Manufacturing and Electrical Engineering, Guangzhou Institute of Science and Technology, Guangzhou, 510540, China; Chen J., Guangdong Industrial Robot Integration and Application Engineering Technology Research Center, Guangzhou Institute of Science and Technology, Guangzhou, 510540, China; Wu W., College of Engineering, South China Agricultural University, Guangzhou, 510642, China","In recent years, the collaborative operation of multiple unmanned aerial vehicles (UAVs) has been an important advancement in drone technology. The research on multi-UAV collaborative flight path planning has garnered widespread attention in the drone field, demonstrating unique advantages in complex task execution, large-scale monitoring, and disaster response. As one of the core technologies of multi-UAV collaborative operations, the research and technological progress in trajectory planning algorithms directly impact the efficiency and safety of UAV collaborative operations. This paper first reviews the application and research progress of path-planning algorithms based on centralized and distributed control, as well as heuristic algorithms in multi-UAV collaborative trajectory planning. It then summarizes the main technical challenges in multi-UAV path planning and proposes countermeasures for multi-UAV collaborative planning in government, business, and academia. Finally, it looks to future research directions, providing ideas for subsequent studies in multi-UAV collaborative trajectory planning technology. © 2024 by the authors.","deterministic algorithm; heuristic algorithm; optimal path; track planning; UAVs","Antennas; Drones; Flight paths; Motion planning; Aerial vehicle; Collaborative operations; Complex task; Deterministic algorithms; Flight path planning; Heuristics algorithm; Optimal paths; Track planning; Trajectory Planning; Unmanned aerial vehicle; Heuristic algorithms","W. Wu; College of Engineering, South China Agricultural University, Guangzhou, 510642, China; email: wuweibin@scau.edu.cn","","Multidisciplinary Digital Publishing Institute (MDPI)","22279717","","","","English","Process.","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85197272789"
"Zhang J.; Du X.; Dong Q.; Xin B.","Zhang, Jia (36112437900); Du, Xin (57205727189); Dong, Qichen (58084942000); Xin, Bin (20435028200)","36112437900; 57205727189; 58084942000; 20435028200","Distributed Collaborative Complete Coverage Path Planning Based on Hybrid Strategy","2024","Journal of Systems Engineering and Electronics","35","2","","463","472","9","3","10.23919/JSEE.2023.000118","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193750222&doi=10.23919%2fJSEE.2023.000118&partnerID=40&md5=6cd35fc8d74e9075c210d6c59517316b","School of Automation, Beijing Institute of Technology, Beijing, 100081, China; Beijing Institute of Technology, National Key Laboratory of Autonomous Intelligent Unmanned Systems, Beijing, 100081, China","Zhang J., School of Automation, Beijing Institute of Technology, Beijing, 100081, China, Beijing Institute of Technology, National Key Laboratory of Autonomous Intelligent Unmanned Systems, Beijing, 100081, China; Du X., School of Automation, Beijing Institute of Technology, Beijing, 100081, China, Beijing Institute of Technology, National Key Laboratory of Autonomous Intelligent Unmanned Systems, Beijing, 100081, China; Dong Q., School of Automation, Beijing Institute of Technology, Beijing, 100081, China, Beijing Institute of Technology, National Key Laboratory of Autonomous Intelligent Unmanned Systems, Beijing, 100081, China; Xin B., School of Automation, Beijing Institute of Technology, Beijing, 100081, China, Beijing Institute of Technology, National Key Laboratory of Autonomous Intelligent Unmanned Systems, Beijing, 100081, China","Collaborative coverage path planning (CCPP) refers to obtaining the shortest paths passing over all places except obstacles in a certain area or space. A multi-unmanned aerial vehicle (UAV) collaborative CCPP algorithm is proposed for the urban rescue search or military search in outdoor environment. Due to flexible control of small UAVs, it can be considered that all UAVs fly at the same altitude, that is, they perform search tasks on a two-dimensional plane. Based on the agents' motion characteristics and environmental information, a mathematical model of CCPP problem is established. The minimum time for UAVs to complete the CCPP is the objective function, and complete coverage constraint, no-fly constraint, collision avoidance constraint, and communication constraint are considered. Four motion strategies and two communication strategies are designed. Then a distributed CCPP algorithm is designed based on hybrid strategies. Simulation results compared with pattern-based genetic algorithm (PBGA) and random search method show that the proposed method has stronger real-time performance and better scalability and can complete the complete CCPP task more efficiently and stably.  © 1990-2011 Beijing Institute of Aerospace Information.","complete coverage path planning (CCPP); distributed algorithm; multi-agent cooperation; unmanned aerial vehicles (UAV)","Altitude control; Antennas; Genetic algorithms; Military vehicles; Motion planning; Multi agent systems; Parallel algorithms; Software agents; Aerial vehicle; Complete coverage path planning; Complete coverages; Coverage path planning; Hybrid strategies; Multi agent cooperation; Outdoor environment; Path-planning algorithm; Short-path; Unmanned aerial vehicle; Unmanned aerial vehicles (UAV)","B. Xin; School of Automation, Beijing Institute of Technology, Beijing, 100081, China; email: brucebin@bit.edu.cn","","Beijing Institute of Aerospace Information","16711793","","JSEEF","","English","J Syst Eng Electron","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85193750222"
